subgroup,1,2,3,4,Xi_bar,Ri
1,-10,-6,0,0,-4,10
2,-14,-4,-6,4,-5,18
3,-2,12,-2,8,4,14
4,-4,-6,-6,-2,-4.5,4
5,12,6,2,2,5.5,10
6,0,0,-6,-8,-3.5,8
7,2,-6,8,-6,-0.5,14
8,0,6,4,8,4.5,8
9,2,4,6,8,5,6
10,-8,0,-4,2,-2.5,10
11,4,2,2,6,3.5,4
12,-8,4,-14,6,-3,20
13,-10,2,-10,4,-3.5,14
14,-8,2,-4,4,-1.5,12
15,6,16,10,18,12.5,12
16,2,2,0,2,1.5,2
17,12,6,0,2,5,12
18,2,2,0,-8,-1,10
19,-6,-4,2,0,-2,8
20,-2,4,0,4,1.5,6
21,2,4,2,6,3.5,4
22,0,4,2,4,2.5,4
23,-2,4,-2,4,1,6
24,-10,4,-12,4,-3.5,16
25,6,8,-4,2,3,12
